date,kWh,building
2023-09-11 00:00:00,3.0,30 Mac Main Electricity Meter
2023-09-11 01:00:00,4.0,30 Mac Main Electricity Meter
2023-09-11 02:00:00,3.0,30 Mac Main Electricity Meter
2023-09-11 03:00:00,3.0,30 Mac Main Electricity Meter
2023-09-11 04:00:00,3.0,30 Mac Main Electricity Meter
2023-09-11 05:00:00,3.0,30 Mac Main Electricity Meter
2023-09-11 06:00:00,2.0,30 Mac Main Electricity Meter
2023-09-11 07:00:00,3.0,30 Mac Main Electricity Meter
2023-09-11 08:00:00,3.0,30 Mac Main Electricity Meter
2023-09-11 09:00:00,3.0,30 Mac Main Electricity Meter
2023-09-11 10:00:00,4.0,30 Mac Main Electricity Meter
2023-09-11 11:00:00,4.0,30 Mac Main Electricity Meter
2023-09-11 12:00:00,4.0,30 Mac Main Electricity Meter
2023-09-11 13:00:00,4.0,30 Mac Main Electricity Meter
2023-09-11 14:00:00,3.0,30 Mac Main Electricity Meter
2023-09-11 15:00:00,5.0,30 Mac Main Electricity Meter
2023-09-11 16:00:00,7.0,30 Mac Main Electricity Meter
2023-09-11 17:00:00,5.0,30 Mac Main Electricity Meter
2023-09-11 18:00:00,6.0,30 Mac Main Electricity Meter
2023-09-11 19:00:00,3.0,30 Mac Main Electricity Meter
2023-09-11 20:00:00,4.0,30 Mac Main Electricity Meter
2023-09-11 21:00:00,4.0,30 Mac Main Electricity Meter
2023-09-11 22:00:00,4.0,30 Mac Main Electricity Meter
2023-09-11 23:00:00,4.0,30 Mac Main Electricity Meter
2023-09-11 00:00:00,23.0,Bigelow Hall Main Electricity Meter
2023-09-11 01:00:00,21.0,Bigelow Hall Main Electricity Meter
2023-09-11 02:00:00,20.0,Bigelow Hall Main Electricity Meter
2023-09-11 03:00:00,19.0,Bigelow Hall Main Electricity Meter
2023-09-11 04:00:00,18.0,Bigelow Hall Main Electricity Meter
2023-09-11 05:00:00,18.0,Bigelow Hall Main Electricity Meter
2023-09-11 06:00:00,18.0,Bigelow Hall Main Electricity Meter
2023-09-11 07:00:00,18.0,Bigelow Hall Main Electricity Meter
2023-09-11 08:00:00,19.0,Bigelow Hall Main Electricity Meter
2023-09-11 09:00:00,21.0,Bigelow Hall Main Electricity Meter
2023-09-11 10:00:00,23.0,Bigelow Hall Main Electricity Meter
2023-09-11 11:00:00,20.0,Bigelow Hall Main Electricity Meter
2023-09-11 12:00:00,19.0,Bigelow Hall Main Electricity Meter
2023-09-11 13:00:00,20.0,Bigelow Hall Main Electricity Meter
2023-09-11 14:00:00,20.0,Bigelow Hall Main Electricity Meter
2023-09-11 15:00:00,22.0,Bigelow Hall Main Electricity Meter
2023-09-11 16:00:00,23.0,Bigelow Hall Main Electricity Meter
2023-09-11 17:00:00,22.0,Bigelow Hall Main Electricity Meter
2023-09-11 18:00:00,22.0,Bigelow Hall Main Electricity Meter
2023-09-11 19:00:00,21.0,Bigelow Hall Main Electricity Meter
2023-09-11 20:00:00,22.0,Bigelow Hall Main Electricity Meter
2023-09-11 21:00:00,23.0,Bigelow Hall Main Electricity Meter
2023-09-11 22:00:00,23.0,Bigelow Hall Main Electricity Meter
2023-09-11 23:00:00,24.0,Bigelow Hall Main Electricity Meter
2023-09-11 00:00:00,2.0,Cultural House Main Electricity Meter
2023-09-11 01:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 02:00:00,2.0,Cultural House Main Electricity Meter
2023-09-11 03:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 04:00:00,2.0,Cultural House Main Electricity Meter
2023-09-11 05:00:00,2.0,Cultural House Main Electricity Meter
2023-09-11 06:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 07:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 08:00:00,2.0,Cultural House Main Electricity Meter
2023-09-11 09:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 10:00:00,2.0,Cultural House Main Electricity Meter
2023-09-11 11:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 12:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 13:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 14:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 15:00:00,2.0,Cultural House Main Electricity Meter
2023-09-11 16:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 17:00:00,2.0,Cultural House Main Electricity Meter
2023-09-11 18:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 19:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 20:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 21:00:00,2.0,Cultural House Main Electricity Meter
2023-09-11 22:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 23:00:00,1.0,Cultural House Main Electricity Meter
2023-09-11 00:00:00,18.0,Doty Hall Main Electricity Meter
2023-09-11 01:00:00,21.0,Doty Hall Main Electricity Meter
2023-09-11 02:00:00,16.0,Doty Hall Main Electricity Meter
2023-09-11 03:00:00,16.0,Doty Hall Main Electricity Meter
