date,kWh,building
2022-12-05 12:00:00,15.0,Doty Hall Main Electricity Meter
2022-12-05 13:00:00,18.0,Doty Hall Main Electricity Meter
2022-12-05 14:00:00,18.0,Doty Hall Main Electricity Meter
2022-12-05 15:00:00,20.0,Doty Hall Main Electricity Meter
2022-12-05 16:00:00,20.0,Doty Hall Main Electricity Meter
2022-12-05 17:00:00,20.0,Doty Hall Main Electricity Meter
2022-12-05 18:00:00,23.0,Doty Hall Main Electricity Meter
2022-12-05 19:00:00,19.0,Doty Hall Main Electricity Meter
2022-12-05 20:00:00,20.0,Doty Hall Main Electricity Meter
2022-12-05 21:00:00,23.0,Doty Hall Main Electricity Meter
2022-12-05 22:00:00,21.0,Doty Hall Main Electricity Meter
2022-12-05 23:00:00,20.0,Doty Hall Main Electricity Meter
2022-12-05 00:00:00,53.0,Dupre Hall Main Electricity Meter
2022-12-05 01:00:00,40.0,Dupre Hall Main Electricity Meter
2022-12-05 02:00:00,36.0,Dupre Hall Main Electricity Meter
2022-12-05 03:00:00,32.0,Dupre Hall Main Electricity Meter
2022-12-05 04:00:00,32.0,Dupre Hall Main Electricity Meter
2022-12-05 05:00:00,34.0,Dupre Hall Main Electricity Meter
2022-12-05 06:00:00,33.0,Dupre Hall Main Electricity Meter
2022-12-05 07:00:00,31.0,Dupre Hall Main Electricity Meter
2022-12-05 08:00:00,33.0,Dupre Hall Main Electricity Meter
2022-12-05 09:00:00,35.0,Dupre Hall Main Electricity Meter
2022-12-05 10:00:00,34.0,Dupre Hall Main Electricity Meter
2022-12-05 11:00:00,35.0,Dupre Hall Main Electricity Meter
2022-12-05 12:00:00,34.0,Dupre Hall Main Electricity Meter
2022-12-05 13:00:00,35.0,Dupre Hall Main Electricity Meter
2022-12-05 14:00:00,34.0,Dupre Hall Main Electricity Meter
2022-12-05 15:00:00,48.0,Dupre Hall Main Electricity Meter
2022-12-05 16:00:00,48.0,Dupre Hall Main Electricity Meter
2022-12-05 17:00:00,42.0,Dupre Hall Main Electricity Meter
2022-12-05 18:00:00,42.0,Dupre Hall Main Electricity Meter
2022-12-05 19:00:00,46.0,Dupre Hall Main Electricity Meter
2022-12-05 20:00:00,44.0,Dupre Hall Main Electricity Meter
2022-12-05 21:00:00,43.0,Dupre Hall Main Electricity Meter
2022-12-05 22:00:00,40.0,Dupre Hall Main Electricity Meter
2022-12-05 23:00:00,49.0,Dupre Hall Main Electricity Meter
2022-12-05 00:00:00,40.0,GDD Hall Main Electricity Meter
2022-12-05 01:00:00,36.0,GDD Hall Main Electricity Meter
2022-12-05 02:00:00,34.0,GDD Hall Main Electricity Meter
2022-12-05 03:00:00,34.0,GDD Hall Main Electricity Meter
2022-12-05 04:00:00,32.0,GDD Hall Main Electricity Meter
2022-12-05 05:00:00,31.0,GDD Hall Main Electricity Meter
2022-12-05 06:00:00,31.0,GDD Hall Main Electricity Meter
2022-12-05 07:00:00,34.0,GDD Hall Main Electricity Meter
2022-12-05 08:00:00,33.0,GDD Hall Main Electricity Meter
2022-12-05 09:00:00,34.0,GDD Hall Main Electricity Meter
2022-12-05 10:00:00,34.0,GDD Hall Main Electricity Meter
2022-12-05 11:00:00,34.0,GDD Hall Main Electricity Meter
2022-12-05 12:00:00,33.0,GDD Hall Main Electricity Meter
2022-12-05 13:00:00,34.0,GDD Hall Main Electricity Meter
2022-12-05 14:00:00,35.0,GDD Hall Main Electricity Meter
2022-12-05 15:00:00,39.0,GDD Hall Main Electricity Meter
2022-12-05 16:00:00,36.0,GDD Hall Main Electricity Meter
